minute,kwatt
1783,0.167
1784,0.1575
1785,0.1296
1786,0.1387
1787,0.1434
1788,0.1489
1789,0.1561
1790,0.1407
1791,0.1405
1792,0.1402
1793,0.1405
1794,0.1406
1795,0.1407
1796,0.1408
1797,0.1509
1798,0.1549
1799,0.1414
1800,0.1486
1801,0.1487
1802,0.1486
1803,0.1481
1804,0.1485
1805,0.1485
1806,0.1483
1807,0.1486
1808,0.1517
1809,0.1517
1810,0.1515
1811,0.1517
1812,0.152
1813,0.1517
1814,0.1519
1815,0.1516
1816,0.1512
1817,0.1516
1818,0.1516
1819,0.1516
1820,0.1513
1821,0.1511
1822,0.1511
1823,0.1512
1824,0.151
1825,0.1511
1826,0.1514
1827,0.1513
1828,0.1515
1829,0.1518
1830,0.152
1831,0.1521
1832,0.1521
1833,0.1512
1834,0.1513
1835,0.1512
1836,0.1516
1837,0.1511
1838,0.1512
1839,0.1514
1840,0.1512
1841,0.151
1842,0.1519
1843,0.1519
1844,0.3135
1845,0.2979
1846,0.297
1847,0.2943
1848,0.2919
1849,0.2899
1850,0.2884
1851,0.2877
1852,0.2871
1853,0.2867
1854,0.2864
1855,0.2522
1856,0.2204
1857,0.2204
1858,0.2204
1859,0.2204
1860,0.2204
1861,0.2204
1862,0.2204
1863,0.2204
1864,0.2204
1865,0.2204
1866,0.2204
1867,0.2204
1868,0.2204
1869,0.2204
1870,0.2204
1871,0.2204
1872,0.2226
1873,0.2138
1874,0.1932
1875,0.1932
1876,0.1925
1877,0.1927
1878,0.1925
1879,0.1919
1880,0.1914
1881,0.1914
1882,0.1906
1883,0.1899
1884,0.1863
1885,0.184
1886,0.1836
1887,0.1831
1888,0.1832
1889,0.1833
1890,0.1832
1891,0.1835
1892,0.1839
1893,0.1831
1894,0.1833
